"title","date","image","content"
"15% Bonus Shares of Nepal Hydro Developers Limited (NHDL) Now Listed in NEPSE","Tue, Jul 27, 2021 11:32 AM
                                                                on
                                                                Latest,
                                                                Dividend, Bonus & Rights,
                                                                Share Listed,","https://contents.sharesansar.com/photos/shares/company/1526018180-nepal-hydro-developer-NHDL-ss.jpg","3,90,000 bonus shares of Nepal Hydro Developers Limited (NHDL) are now listed in NEPSE.
The company endorsed a 15.07895% dividend for the fiscal year 2076/77 in its AGM held on 17th Chaitra, 2077. The 60th meeting of the board of directors held on Falgun 20 had decided to distribute 15% bonus shares and 0.7895% cash dividend for the fiscal year. Since the paid-up capital of the company during dividend distribution was Rs. 26,00,00,000, the bonus shares are worth Rs. 3,90,00,000 and the cash dividend is worth Rs. 20,52,632.
The same bonus shares are now listed in NEPSE. As of writing, NHDL has an LTP of Rs. 561."
"Fall in NAV and Profitability of Both Mutual Funds of NMB Capital for Ashar","Tue, Jul 27, 2021 10:43 AM
                                                                on
                                                                Latest,
                                                                Mutual Fund,","https://contents.sharesansar.com/photos/shares/company/1524553179-NMB-Capital-ss.jpg","NMB Capital Limited has published the NAV Report of NMB Hybrid Fund L-1 and NMB 50 till Ashar, 2078.
NMB Hybrid Fund L-1 (NMBHF-1)'s NAV has fallen to Rs. 16.89 in the month of Ashar compared to NAV of the previous month of Rs. 17.05.
The scheme, which began with a fund size of Rs.1 Arba, has invested Rs. 84.44 crores in listed shares and Rs. 1.83 crores in the public issue, right shares, and bonus shares. The fund has invested Rs. 34.26 crores in bonds and debentures.
The scheme has kept Rs. 15 crores in fixed deposits and has Rs. 32.11 crores as a bank balance.
The net profit till the end of Ashar month stands at a little over Rs. 62.05 crores. The net profit was 63.65 crores in the month before that.
Announcement
NMB 50 (NMB50), another 7-year mutual fund scheme managed by NMB Capital has also published financial highlights for the month of Ashar. The NAV for the period was reported at Rs. 18.96, down from Rs. 19.43 in the previous month.
The scheme began with a fund size of Rs. 1.25 Arba including seed capital from the fund sponsors. The scheme has invested Rs. 1.53 Arba in shares of listed companies and Rs. 3.01 crores in the public issue, right shares, and bonus shares. Amount invested in fixed deposit stands at Rs. 18.25 crores while the bank balance stands at Rs. 43.48 crores. The fund has invested 18.1 crores in bonds and debentures.
By the end of Ashar, the scheme has reported a net profit of Rs. 1.06 Arba. In the previous month, the scheme was at a net profit of Rs. 1.12 Arba.
Announcement"
"Public Issue of ""8.75% Muktinath Debenture/Rinpatra 2084/85"" Closing Today","Tue, Jul 27, 2021 10:28 AM
                                                                on
                                                                Latest,
                                                                Bonds & Debentures,","https://contents.sharesansar.com/photos/shares/company/1524025304-muktinath-bikas-bank-MNBBL-ss.jpg","Muktinath Bikas Bank Limited is closing the public issue of ""8.75% Muktinath Debenture/Rinpatra 2084/85."" The issue opened on 7th Shrawan and will close today, i.e. on 11th Shrawan, 2078, at the end of banking hours. 
12,50,000 units have been issued at a par value of Rs.1000 per unit. 7.5 lakh units will be subscribed via private placement and 5 lakh units have been opened for the public issue, including the 5% quota for mutual funds. Investors can apply for a minimum of 25 units to a maximum of 5,00,000 units.
""8.75% Muktinath Debenture/Rinpatra 2084/85"" is a debenture issued by Muktinath Bikas Bank Limited (MNBBL). As the name suggests, the debenture has a maturity period of 7 years and will yield an 8.75% annual return to unitholders.
Offer Letter"
"Nabil Bank to offer discount on Loan Processing Fee while applying online for SME Loan; offer valid only for limited time","Tue, Jul 27, 2021 10:04 AM
                                                                on
                                                                Latest,
                                                                Corporate,",,"Nabil Bank has launched an Online Application for SME Loans. Now customers willing to apply for a Nabil SME loan can simply visit the bank’s website (https://www.nabilbank.com/individual/sme-loan-application/business-information-details) & apply for the loan digitally. This initiative is in line with the bank’s aim to transform into a fully digital Bank. Nabil Bank intends to meet the customers’ current needs and expectations of enjoying banking services at all times through any preferred electronic device.

Moreover, the Bank is offering discounts on service charges to limited customers who apply for SME loans through Bank’s official website. The offer is a part of the “Nabil Bank – Go Digital Program, Digital Karobar Aajako Aawasyakta” campaign.
Nabil Bank is one of the leading commercial banks of Nepal with a wide network of 135 branches, 183 ATMs, 5 extension counters, and more than 1500+ Nabil Remit Agents spread across the country. With a banking experience of 37 years, our highly experienced team along with robust/secured banking system, we have been constantly providing superior service delivery for enhancing the value to our customers."
"Muktinath Bikas Bank brings Muktinath Sambridhi Saving Account; to provide 5.25% annual interest with free mobile and internet banking facility","Tue, Jul 27, 2021 5:25 AM
                                                                on
                                                                Latest,
                                                                Corporate,",,"Muktinath Bikas Bank has launched a Muktinath Sambridhi Saving account with 5.25% interest with a monthly interest payment facility. the account can be opened with Rs 100 minimum balance.
 
Customers can avail of free mobile and internet banking services for the first year with this saving account, as per the media statement."
"Reminder: Last Day to Grab 25% Cash Dividend of Laxmi Unnati Kosh (LUK)","Tue, Jul 27, 2021 5:24 AM
                                                                on
                                                                Dividend, Bonus & Rights,
                                                                Book Closure,
                                                                Latest,","https://contents.sharesansar.com/photos/shares/company/1524553152-laxmi-capital-ss.png","Today is the last day to be eligible for the dividend of Laxmi Unnati Kosh (LUK). Shrawan 13 is the book closure date. Thus, investors, who buy the units of the fund today, i.e. Shrawan 12 are also eligible to claim for the already-proposed dividend.
LUK has proposed a 25% cash dividend for the fiscal year 2077/78.
Laxmi Unnati Kosh is a closed-end mutual fund managed by Laxmi Capital and promoted by Laxmi Bank. This is the mutual fund's first dividend. The 67th meeting of the board held on Shrawan 05 decided to distribute the dividend. The NAV for the month of Jestha stands at Rs. 15.25. Laxmi Unnati Kosh reported a net profit of Rs. 34.25 crores the month of Jestha. In the previous month, the net profit was Rs. 26.25 crores.
As of writing, the LTP of the units of the mutual fund stands at Rs. 14.79 per unit."
"Global IME Capital to keep open its evening counter until Shrawan 25; aims to make it easier for investors of Madhya Bhotekoshi IPO and HIDCL right shares","Tue, Jul 27, 2021 5:21 AM
                                                                on
                                                                Latest,
                                                                Corporate,","https://contents.sharesansar.com/photos/shares/company/1549342887-1524553141-Global-Ime-capital-ss.jpg","Global IME Capital has announced to keep open its evening counter at its head office Nakshal from Shrawan 11 to Shrawan 25 Except Shrawan 15, 16, 22, and 23 for the service of its valued customers.
The merchant banker has come up with such an arrangement to facilitate the investors to apply for the IPO shares of the Madhya Bhotekoshi project currently being floated for the project affected individuals of Sindhupalchowk and for the current right share issue of HIDCL.
The merchant banker has urged all the investors who haven’t yet dematerialized their shares of HIDCL and who recently dematerialized one to visit the designated branches of Global IME Bank to physically apply for the right shares, as per the media statement."
"Adding to Restrictions Made in the Last Fiscal Year, Central Bank Further Tightens Dividend Distribution Constraints","Mon, Jul 26, 2021 5:21 PM
                                                                on
                                                                Dividend, Bonus & Rights,
                                                                Economy,
                                                                National,
                                                                Latest,","https://contents.sharesansar.com/photos/shares/company/1524201871-nepal-rastra-bank-NRB-ss.JPG","Class D microfinance institutions licensed by Nepal Rastra Bank have to keep 50 percent of their dividend in the reserve fund. The central bank has issued a circular today stating that the microfinance institutions that distribute more than 20% dividend should keep the amount equaling 50% of the dividend amount in reserves.
Similarly, in order to promote overall financial stability in view of the impact due to the Covid 19 epidemic, NRB has brought a change in the procedure for the preparation of the annual financial statement of 2077/78. Now, the general loan loss provision has to be increased by 0.3 percent in addition to the existing 1 percent and the total loan loss provision has to be maintained at 1.3%.
In the circular issued, NRB has also extended the deadline for banks and financial institutions to publish interim financial reports by 15 days. If interest payment due by the end of Ashar is received before Bhadra 15, the income can still be chalked down under the financial report as of Ashar.
Meanwhile, in dividend distribution, the policy arrangement brought in the last fiscal year has been continued. According to this arrangement, banks and financial institutions will be allowed to declare and distribute cash dividends only up to 30 percent of the net distributable profit of the Fiscal Year 2077/78.
However, such cash dividend should not exceed the weighted average interest rate on deposits maintained till Ashar's end, 2078. Similarly, banks and financial institutions whose net distributable profit is less than 5 percent of the total paid-up capital will not be allowed to distribute cash dividends except for tax purposes.
Circular to A, B, and C Class Financial Institutions:
  Your browser does not support pdfs, click here to download the file.
Circular to D Class Financial Institutions:
  Your browser does not support pdfs, click here to download the file."
"Mega Bank partners with Nagarik app.; to facilitate in easy opening of bank account via Nagarik app platform","Tue, Jul 27, 2021 10:15 AM
                                                                on
                                                                Latest,
                                                                Corporate,","https://contents.sharesansar.com/photos/shares/company/1523614251-mega-bank-nepal-mega-ss.jpg","Mega Bank has partnered with the Nagarik app of the government of Nepal to facilitate the creation of e-governance platforms in the nation.
With this partnership, people can now easily open their bank account with the bank via the app. as well as get a range of other banking services, as per the media statement."
"Progressive Finance goes live with Credit-X system; to bring massive up-gradation in its Loan Automation channel","Tue, Jul 27, 2021 10:05 AM
                                                                on
                                                                Latest,
                                                                Corporate,","https://contents.sharesansar.com/photos/shares/company/1523619231-Progressive-Finance-ss-PROFL.jpg","Progressive Finance Ltd. has implemented  and has gone live with the Credit-X (Loan Automation System) to automate and digitize processes like  Internal Loan Workflow, Risk Assessment, Credit Documentation and Approval of loan including post approval documentation like offer letter and loan deed  in partnered with S.B Solutions an associate company of DigiHub Pvt. Ltd.,  
Mr. Bishal Humagain, Chief Executive Officer of Progressive Finance Ltd and Mr. Sanjog Mishra, Chief Executive Officer of S.B Solutions Pvt. Ltd and signed the agreement on behalf of their respective organizations.
With the introduction of the Credit-X (Loan Automation System), banks will not only be able to replace the paper dependent loan workflow entirely, but will also able to mitigate the credit risks associated with loan clients by monitoring of risk parameters within the system and help bank to process the loan quickly. The System is also capable to process the Collateral and Non-Collateral Base Loan within the systems. Loan Automation System is built on internal ratings based approach as per the international standards. Along with objective assessment of a client which is primarily system driven, and is standardization of subjective parameters as well. With this new system implementation, bank and end consumers can get benefits with an estimated of more than 50% reduction in turnaround time of the loan processing and approval process.
Progressive Finance Ltd received the operating License from Nepal Rastra Bank to function as a ""C"" Class Finance Company. It has achieved the triumph to establish itself as a Strong & Reliable Finance in Nepal.  Progressive Finance Ltd has a customer base of around 1+ Lakh and have 15+ Branches spread all over the country.
S.B Solutions Pvt. Ltd has been recently Associated with DigiHub Pvt. Ltd to work in to the area of Fintech and Lending Digitization & Automation of banking products and processes with a wide selection of products like APIMS, One Link, Credit Automation as Credit-X, Online Loan Eligibility, Insta Loan, Payday Loan Etc. Currently more then 40+ Financials Institute and corporate houses have been using the systems built by S.B Solutions and its associate company DigiHub Umbrella Group."
