"title","link"
"15% Bonus Shares of Nepal Hydro Developers Limited (NHDL) Now Listed in NEPSE","https://www.sharesansar.com/newsdetail/15-bonus-shares-of-nepal-hydro-developers-limited-nhdl-now-listed-in-nepse-2021-07-27"
"Fall in NAV and Profitability of Both Mutual Funds of NMB Capital for Ashar","https://www.sharesansar.com/newsdetail/fall-in-nav-and-profitability-of-both-mutual-funds-of-nmb-capital-for-ashar-2021-07-27"
"Public Issue of ""8.75% Muktinath Debenture/Rinpatra 2084/85"" Closing Today","https://www.sharesansar.com/newsdetail/public-issue-of-875-muktinath-debenturerinpatra-208485-closing-today-2021-07-27"
"Nabil Bank to offer discount on Loan Processing Fee while applying online for SME Loan; offer valid only for limited time","https://www.sharesansar.com/newsdetail/nabil-bank-to-offer-discount-on-loan-processing-fee-while-applying-online-for-sme-loan-offer-valid-only-for-limited-time-2021-07-27"
"Muktinath Bikas Bank brings Muktinath Sambridhi Saving Account; to provide 5.25% annual interest with free mobile and internet banking facility","https://www.sharesansar.com/newsdetail/muktinath-bikas-bank-brings-muktinath-sambridhi-saving-account-to-provide-525-annual-interest-with-free-mobile-and-internet-banking-facility-2021-07-27"
"Reminder: Last Day to Grab 25% Cash Dividend of Laxmi Unnati Kosh (LUK)","https://www.sharesansar.com/newsdetail/reminder-last-day-to-grab-25-cash-dividend-of-laxmi-unnati-kosh-luk-2021-07-26"
"Global IME Capital to keep open its evening counter until Shrawan 25; aims to make it easier for investors of Madhya Bhotekoshi IPO and HIDCL right shares","https://www.sharesansar.com/newsdetail/global-ime-capital-to-keep-open-its-evening-counter-until-shrawan-25-aims-to-make-it-easier-for-investors-of-madhya-bhotekoshi-ipo-and-hidcl-right-shares-2021-07-27"
"Adding to Restrictions Made in the Last Fiscal Year, Central Bank Further Tightens Dividend Distribution Constraints","https://www.sharesansar.com/newsdetail/adding-to-restrictions-made-in-the-last-fiscal-year-central-bank-further-tightens-dividend-distribution-constraints-2021-07-26"
"Mega Bank partners with Nagarik app.; to facilitate in easy opening of bank account via Nagarik app platform","https://www.sharesansar.com/newsdetail/mega-bank-partners-with-nagarik-app-to-facilitate-in-easy-opening-of-bank-account-via-nagarik-app-platform-2021-07-27"
"Progressive Finance goes live with Credit-X system; to bring massive up-gradation in its Loan Automation channel","https://www.sharesansar.com/newsdetail/progressive-finance-goes-live-with-credit-x-system-to-bring-massive-up-gradation-in-its-loan-automation-channel-2021-07-27"
